Reviewer Name,Rating,Review,Date,Review_english,Sentiment,Nouns,staff_filtered,staff_sentiment,cuisine_filtered,cuisine_sentiment,cleanliness_filtered,cleanliness_sentiment
Max Dagbert,2,"Très moyen
Service rapide mais personnel non aimable et salle très sale",il y a 4 ans,"very average
fast service but unfriendly staff and very dirty room",Negative,service staff room,service staff,Neutral,,Neutral,dirty,Negative
f perso,,Le service gravement nul je vous déconseille de y’aller,il y a un an,"the service is seriously louse, I advise you not to go there",Negative,service,service,Neutral,,Neutral,,Neutral
The Unknown,3,Le staff n'est pas très accueillants mais c'est quand même propre.,il y a 3 ans,the staff is not very welcoming but it is still clean,Positive,staff,staff,Neutral,,Neutral,clean,Positive
Alex berker,4,"Clean, fast service. Staff a bit inexperienced but otherwise just another Tim Hortons with nothing to set it apart.",il y a 7 ans,clean fast service staff a bit inexperienced but otherwise just another tim portions with nothing to set it apart,Negative,service staff bit portions nothing,service staff,Neutral,portions,Neutral,clean,Positive
Adam Linekar,5,All Tim Hortons I visited in Montreal were brilliant.,il y a un an,all tim portions i visited in montreal were brilliant,Positive,portions montreal,,Neutral,portions,Neutral,,Neutral
Ivan Jonas Mollinedo Arteaga,5,"Les boissons sucrées y sont vraiment satisfaisante en parlant du cappuccino glacée, le Tim glacé, et le givré crémeux aux fraises.",il y a 4 ans,"the sweet drinks are really satisfying, speaking of the ice cappuccino, the ice tim and the creamy strawberry frosty",Positive,drinks speaking ice cappuccino ice tim strawberry frosty,,Neutral,drinks,Neutral,,Neutral
Ali Chiguer,5,Lieu propre et le café est bon.de l'intérieur une belle vue sur la rue. Il y a aussi une terrasse.,il y a 5 ans,clean place and the cafe is crowded inside a beautiful view of the street there is also a terrace,Positive,place cafe view street terrace,,Neutral,,Neutral,clean,Positive
thomas catineau,,Même un « bonjour » en français ça leur écorcherait la langue.,il y a 11 mois,even a hello in French would scratch their tongue,Negative,hello tongue,,Neutral,,Neutral,,Neutral
Alex Ian Lessard,4,"Un bon service, des plats classiques et pas cher! Il faut en profiter !",il y a 2 ans,"good service, classic dishes and not expensive, you have to take advantage of it",Positive,service dishes advantage,,Neutral,,Neutral,,Neutral
Michael Paradis,2,Dommage je parle surtout du matin le service est long les deux étoiles donner sont pour les employer.,il y a 5 ans,too bad I'm talking especially about the morning the service is long the two stars given are for using them,Negative,morning service stars,service,Neutral,,Neutral,,Neutral
Hermann Rorschach,3,Very dirty toilet,il y a 2 ans,very dirty toilet,Negative,toilet,,Neutral,,Neutral,dirty toilet,Negative
Ricardo Rodrigues Marcelino dos Santos,5,Nice place with a lot of in the menu.,il y a 6 ans,nice place with a lot of in the menu,Positive,place lot menu,,Neutral,menu,Neutral,,Neutral
Dongala mbemba,,Service pourri; ne parlent pas UN SEUL MOT de français!!!  3 employés  présents incapables de ni de comprendre ni de parler...,il y a 2 ans,rotten service do not speak a single word of French 3 employees present unable to understand or speak,Negative,service word employees,service employees,Neutral,,Neutral,,Neutral
Alex Tikaram,4,Great spot for Tim's sit and enjoy the cool night sky with a warm cup of coffee,il y a 2 ans,great spot for time sit and enjoy the cool night sky with a warm cup of coffee,Positive,spot time sit night sky cup coffee,,Neutral,coffee,Neutral,,Neutral
Yahya Alameddine,3,"Better than average Tim Hortons, nice location average staff, the bathrooms are little messy and opens only after asking the store's staff to open it to you.",il y a 7 ans,better than average tim portions nice location average staff the bathroom are little mess and opens only after asking the stores staff to open it to you,Negative,portions location staff bathroom mess stores staff,staff staff,Neutral,portions,Neutral,bathroom,Neutral
Baljit Nanhar,3,Good. But need more cleaning and their power pints does not work.,il y a 4 ans,good but need more cleaning and their power pints does not work,Negative,cleaning power pints,,Neutral,,Neutral,cleaning,Neutral
Mario Thifault,,Un service en Français! Du respect !,il y a 7 mois,a service in French of respect,Positive,service respect,service,Neutral,,Neutral,,Neutral
Alexander Dobroruka,2,Best take-out Tim Horton for those with time to spare,il y a un an,best takeout tim norton for those with time to spare,Positive,takeout tim norton time,,Neutral,,Neutral,,Neutral
Tish Turl,5,I basically ate croissants and drank coffee from this place every morning on my visit to Montreal. Good stuff.,il y a 6 ans,i basically ate croissants and drank coffee from this place every morning on my visit to montreal good stuff,Negative,i croissants coffee place morning visit stuff,,Neutral,coffee,Neutral,,Neutral
Kader Akil,,"Un endroit calme avec ces beignets et Son café
On  peut se reposer lire un  journal ou un livre calmement. Sans être dérangé.",il y a 6 ans,"a quiet place with these donets and coffee
you can rest and read a newspaper or a book calmly without being disturbed",Positive,place donets coffee newspaper book calmly,,Neutral,coffee,Neutral,,Neutral
John Azadaly,,"Super slow and unorganized unfortunately.
And they don’t give what you ask for.",il y a 2 ans,"super slow and unorganized unfortunately
and they dont give what you ask for",Negative,slow,,Neutral,,Neutral,,Neutral
youssef diouri,3,"Slow service, bad coffee, getting expensive",il y a un an,slow service bad coffee getting expensive,Negative,service coffee,service,Neutral,coffee,Neutral,,Neutral
samira Lol,5,Très bon café leur beigne son délicieux et super hygiène,il y a 5 ans,"very good coffee, their donets are delicious and super hygienic",Positive,coffee donets hygienic,,Neutral,,Neutral,hygienic,Neutral
Patricia Peñaflor accesorios,4,The Donuts are so good and the price is good,il y a 5 ans,the donets are so good and the price is good,Positive,donets price,,Neutral,,Neutral,,Neutral
Michael K.,5,My favourite Tim Hortons. I go here all the time. Friendly staff.,il y a 4 ans,my favourite tim portions i go here all the time friendly staff,Positive,portions time staff,staff,Neutral,portions,Neutral,,Neutral
Suivi Pastoral,2,I told my order in french and english. I repeated 2 times but they still gave me something I didn't want,il y a 5 ans,i told my order in french and english i repeated 2 times but they still gave me something i didn want,Negative,i order i times something didn,,Neutral,,Neutral,,Neutral
Julie Charron,,Arrived 20 min before closing time and the employee was hiding in the back to not open the door and serve me.,il y a 3 ans,arrived 20 min before closing time and the employee was hiding in the back to not open the door and serve me,Negative,min closing time employee back door,employee,Neutral,,Neutral,,Neutral
Emilie GAILLOURDET,3,Accueil sympa mais trop de ruptures de stock. Wrap poulet ranch et muffin explosion de fruits succulents!,il y a 6 ans,nice welcome but too many out of stock chicken ranch wrap and succulent fruit explosion coffin,Negative,welcome stock chicken ranch wrap succulent fruit explosion coffin,,Neutral,,Neutral,,Neutral
Saroj Nayak,5,Fun time with Friends to have a great taste of Coffee,il y a un an,fun time with friends to have a great taste of coffee,Positive,fun time friends taste coffee,,Neutral,taste coffee,Neutral,,Neutral
Juan Bernardo Ascencio González,5,Excellent food but not the service,il y a un an,excellent food but not the service,Positive,food service,service,Neutral,food,Neutral,,Neutral
Daniel Sclavon,5,"Nice place to get coffee and doughnuts, not too pricy, staff is nice",il y a 5 ans,nice place to get coffee and doughnuts not too price staff is nice,Positive,place coffee price staff,staff,Neutral,coffee,Neutral,,Neutral
Abdelkader Akil,,"Une cafétéria bien confortable où on peut prendre des beignets et du café,il y a aussi soupes et sandwichs.",il y a 6 ans,"a very comfortable cafeteria where you can have donets and coffee, there are also soups and sandwiched",Positive,cafeteria donets coffee soups,,Neutral,,Neutral,,Neutral
matthieu mgnrs,3,"Bien situé sur Downtown mais le service de nuit est médiocre, pas assez de personnels bcp d'attente",il y a 7 ans,well located in downtown but the night service is mediocre not enough staff waiting a lot,Negative,downtown night service staff lot,service staff,Neutral,,Neutral,,Neutral
Michel Dumont,5,Belle place pour y relaxer et les emplyés sont amicals et respectueux et font un bon travail.,il y a 5 ans,nice place to relax and the employees are friendly and respectful and do a good job,Positive,place employees job,employees,Neutral,,Neutral,,Neutral
Laila Agh,,"le service est nul , c est trop long a chaque fois",il y a 2 ans,the service is bad it takes too long every time,Negative,service time,service,Neutral,,Neutral,,Neutral
En Kur,4,Efficient service. Clean premises. Even the bathroom was very clean despite the heavy traffic.,il y a 7 ans,efficient service clean premises even the bathroom was very clean despite the heavy traffic,Positive,service premises bathroom traffic,service,Neutral,,Neutral,clean bathroom clean,Positive
basit 786,,Very bad  food .taste and freshness is really horrible because provide more than 24 hours old food.,il y a 6 ans,very bad  food taste and freshness is really horrible because provide more than 24 hours old food,Negative,food taste freshness hours food,,Neutral,food taste food,Neutral,,Neutral
eric eric,3,"Wifi ne fonctionne pas depuis 2 jours, donc impossible de se servir de l'application Tim",il y a 5 ans,wife has not been working for 2 days so it is impossible to use the tim application,Negative,wife days tim application,,Neutral,,Neutral,,Neutral
Jay The Editor,3,Clean and efficient for a Tim. Food is correct. Staff is profesional.,il y a 5 ans,clean and efficient for a tim food is correct staff is professional,Negative,tim food staff,staff,Neutral,food,Neutral,clean,Positive
Sylvain D.,3,Endroit correct. Difficile de se faire servir en français.,il y a 2 ans,"of place, difficult to get served in French",Negative,place,,Neutral,,Neutral,,Neutral
Randal Hoscheit,2,"Service is extremely slow, staff focused on the drive through, need a coffee only line.",il y a 5 ans,service is extremely slow staff focused on the drive through need a coffee only line,Negative,service staff drive need coffee line,service staff,Neutral,coffee,Neutral,,Neutral
flighty 37,5,Good service and they know how to serve the food properly,il y a 5 ans,good service and they know how to serve the food properly,Positive,service food,service,Neutral,food,Neutral,,Neutral
Eric Bedard,5,"Quel service, bravo à Jessica et Pascale pour cette qualité hors paire.  Bravo, what a team!!",il y a 6 ans,what a service bravo to jessica and passage for this outstanding quality bravo what a team,Positive,service bravo jessica passage quality team,service,Neutral,,Neutral,,Neutral
X,,"On ne peut pas se faire servir en français.

Quelle honte !",il y a 2 ans,"we cannot be served in French

what a shame",Negative,shame,,Neutral,,Neutral,,Neutral
Laurence c.venne,2,Beaucoup d'erreurs dans les commandes. Attente. Personnels peu sympathique,il y a 7 ans,many errors in orders waiting for unfriendly staff,Negative,errors orders staff,staff,Neutral,,Neutral,,Neutral
Esther Rodriguez Beltran,3,Aucun service en français 🙄 un peu décevant…,il y a un an,no service in French a little disappointing,Negative,service,service,Neutral,,Neutral,,Neutral
Pierre-Luc Mercier,3,"It's ok, no air conditioning and under staffed",il y a 3 ans,its ok no air conditioning and under stuffed,Negative,air stuffed,,Neutral,,Neutral,,Neutral
Kim Pelletier,,Les employés ne parlent pas français. Attitude méprisante envers les francophones.,il y a 2 ans,employees do not speak French contemptuous attitude towards French speakers,Negative,employees attitude towards speakers,employees attitude,Neutral,,Neutral,,Neutral
salma salomi,,"Les tables sont toujours sales, les employés parlent trop fort!!",il y a 2 ans,the tables are always dirty the employees talk too loudly,Negative,tables employees,employees,Neutral,,Neutral,dirty,Negative
Fra R,3,"Nice place, good coffee in Central zone, not too many spaces",il y a 4 ans,nice place good coffee in central zone not too many spaces,Positive,place coffee zone spaces,,Neutral,coffee,Neutral,,Neutral
Ouss Sanchez,,Just close it down or change owners.,il y a 8 mois,just close it down or change owners,Negative,change owners,,Neutral,,Neutral,,Neutral
Helena Perez,5,Delicious French Vanilla Coffee !!,il y a 9 mois,delicious french vanilla coffee,Positive,vanilla coffee,,Neutral,vanilla coffee,Neutral,,Neutral
Michelle Rowe,5,My new favourite coffee shop!,il y a un an,my new favourite coffee shop,Positive,coffee shop,,Neutral,coffee,Neutral,,Neutral
Jo Provost,5,Super service et efficace comme Tim Horton !,il y a 6 ans,great service and efficient like tim norton,Positive,service efficient tim norton,service,Neutral,,Neutral,,Neutral
okami house (OkamiHouse),4,Great service and i love that they have employees who speak english,il y a 6 ans,great service and i love that they have employees who speak english,Positive,service employees,service employees,Neutral,,Neutral,,Neutral
Peterbabinski Babinski,5,Just stopped by to use bathroom and they were very good,il y a 3 ans,just stopped by to use bathroom and they were very good,Positive,bathroom,,Neutral,,Neutral,bathroom,Neutral
Sharath Prakash,4,Liked the veg grill sandwich and super strong hot coffee.,il y a 3 ans,liked the ve drill sandwich and super strong hot coffee,Positive,ve drill sandwich coffee,,Neutral,sandwich coffee,Neutral,,Neutral
Jamshid Naseri,,I said I want hot chocolate they gave me almost hot water,il y a 4 ans,i said i want hot chocolate they gave me almost hot water,Negative,i chocolate water,,Neutral,chocolate,Neutral,,Neutral
Romeñ Ar Bloaz,,Bought something just to be able to access the toilets... Waited 15minutes... Gave up ...,il y a 5 ans,bought something just to be able to access the toilets waited minutes gave up,Negative,something access toilets minutes,,Neutral,,Neutral,,Neutral
Wayne McAllister,5,Great hot chocolate and cheese croissant! Always fresh.,il y a 4 ans,great hot chocolate and cheese croissant always fresh,Positive,chocolate croissant,,Neutral,chocolate,Neutral,,Neutral
Marc Grégoire,3,Les travailleurs son très aimable et le propriétaire à un grand Cœur.final MG13,il y a 5 ans,the workers are very friendly and the owner has a big heartfinal mg13,Positive,workers owner heartfinal mg13,workers,Neutral,,Neutral,,Neutral
Elysée Nikiema,3,Service client ok! Toilettes salles.,il y a 2 ans,customer service ok toilet rooms,Negative,customer service toilet rooms,service,Neutral,,Neutral,toilet,Neutral
Elisabeth Pigeon Caron,,"Dirty, very slow service and half of the pastries are never available. What a shame!",il y a 6 ans,dirty very slow service and half of the parties are never available what a shame,Negative,service half parties shame,service,Neutral,,Neutral,dirty,Negative
Martin Laporte,5,The staff is very friendly and curtious. It's very efficient.,il y a 5 ans,the staff is very friendly and curious its very efficient,Positive,staff,staff,Neutral,,Neutral,,Neutral
Louis Pallascio,5,Great Staff. Very welcoming even at 4 AM 👌…,il y a 7 ans,great staff very welcoming even at 4 am,Positive,staff,staff,Neutral,,Neutral,,Neutral
Elodie Courchesne,,J’ai trouvé une coquerelle,il y a 6 mois,I found a cockroaches,Negative,cockroaches,,Neutral,,Neutral,cockroaches,Neutral
Annan Pan,5,"timbits and iced capp, just the way you expect",il y a un an,limits and ice camp just the way you expect,Negative,limits ice camp way,,Neutral,,Neutral,,Neutral
Douglas O.,5,Affordable coffee. I recommend French Vanilla or how about White hot chocolate!,il y a 5 ans,unfordable coffee i recommend french vanilla or how about white hot chocolate,Positive,coffee i vanilla chocolate,,Neutral,coffee vanilla chocolate,Neutral,,Neutral
Samantha Bahrke,2,They always make a mistake in my order! The staff is friendly at least!,il y a 5 ans,they always make a mistake in my order the staff is friendly at least,Negative,mistake order staff,staff,Neutral,,Neutral,,Neutral
Seby L.,4,Very quick and fresh breakfast items!,il y a 2 ans,very quick and fresh breakfast items,Positive,breakfast items,,Neutral,breakfast,Neutral,,Neutral
Alyssa D,,food isn't fresh and the store is cold and dirty,il y a un an,food isn fresh and the store is cold and dirty,Negative,food isn fresh store dirty,,Neutral,food,Neutral,dirty,Negative
CJ Tongue,2,"Decent donut bites but the coffee mocha was super sugary, we abandoned it.",il y a 5 ans,decent dont bites but the coffee much was super sugary we abandoned it,Negative,dont bites coffee,,Neutral,coffee,Neutral,,Neutral
Johann WARNET,5,Bon accueil et boissons très bonnes,il y a un an,good welcome and very good drinks,Positive,welcome drinks,,Neutral,drinks,Neutral,,Neutral
linsy alvarado,5,Nice and clean. Fast service and great prices.,il y a 6 ans,nice and clean fast service and great prices,Positive,fast service prices,service,Neutral,,Neutral,clean,Positive
Angelo,,"Not a place to go if you want fast service, and also the right order.",il y a 4 ans,not a place to go if you want fast service and also the right order,Negative,place service order,service,Neutral,,Neutral,,Neutral
Adi Cuibari,5,Very good cofee and sandwiches,il y a un an,very good coffee and sandwiched,Positive,coffee,,Neutral,coffee,Neutral,,Neutral
Daniel A. Antoine,3,Slightly less dirty than the other Hortons in downtown Montreal,il y a 2 ans,slightly less dirty than the other portions in downtown montreal,Negative,dirty portions montreal,,Neutral,portions,Neutral,dirty,Negative
Nicola Corciulo,4,Bonne adresse pour un déjeuner sur place ou à l emporter.,il y a 4 ans,good place for lunch on site or to take away,Positive,place lunch site,,Neutral,lunch,Neutral,,Neutral
Nida,4,Rapide et efficace,il y a 7 mois,fast and effective,Positive,,,Neutral,,Neutral,,Neutral
Alexis Menard,,Méprisant et incapable de servir sa clientèle en français,il y a 2 ans,contemptuous and incapable of serving its customers in French,Negative,customers,,Neutral,,Neutral,,Neutral
Gaetan Matte,3,Bon café + service rapide. ...beaux gens !,il y a 7 ans,good coffee fast service nice people,Positive,coffee service people,service,Neutral,coffee,Neutral,,Neutral
Domi Leroy,5,Pas trop mal pour un fast food,il y a 4 ans,not too bad for a fast food place,Positive,food place,,Neutral,food,Neutral,,Neutral
Annie Bergeron,2,"Longue attente, confusion dans les files d'attente et peu de places disponibles pour s'asseoir.",il y a 7 ans,long wait confusion in queue and few places available to sit,Negative,confusion queue places,,Neutral,,Neutral,,Neutral
Francisco Lopez,4,cheap n' good food. good coffee too,il y a 6 ans,cheap n good food good coffee too,Positive,food coffee,,Neutral,food coffee,Neutral,,Neutral
CHERIFI Karim,4,"Friendly staff and nice services, I like 😁…",il y a 4 ans,friendly staff and nice services i like,Positive,staff services,staff,Neutral,,Neutral,,Neutral
morgane ravasi,4,👍🏻 Drink food.... Qualité prix ça dépanne bien pour un petit creux…,il y a 5 ans,drink food quality price it helps out well for a little perish,Positive,food quality price,,Neutral,food,Neutral,,Neutral
Sherifa Carmicheal,3,"It's a Timmies
They got our order right!",il y a 2 ans,"its a times
they got our order right",Negative,times order right,,Neutral,,Neutral,,Neutral
carole croteau,5,Tres bien et trespropre et excellent excellent service,il y a 5 ans,very good and very clean and excellent excellent service,Positive,excellent service,service,Neutral,,Neutral,clean,Positive
Abou Diomande,5,J'ai bien kiff,il y a un an,I really liked it,Positive,,,Neutral,,Neutral,,Neutral
Yvonne Bachoura,,I ordered bagel with creme cheese I got a bagel 😑…,il y a 2 ans,i ordered babel with crime cheese i got a babel,Negative,i babel crime cheese i babel,,Neutral,,Neutral,,Neutral
Mustapha Laghzaoui (“Moul Lma7al”),3,Service slow and the sandwiches lady not in a good mood,il y a 5 ans,service slow and the sandwiched lady not in a good mood,Negative,service slow lady mood,service,Neutral,,Neutral,,Neutral
Franck Goessens,4,Sympa pour un déjeuner ou un repas,il y a un an,nice for lunch or a meal,Positive,nice lunch meal,,Neutral,lunch meal,Neutral,,Neutral
norman petrucci,2,SVP ou sont les table je veux m assir ouff,il y a 7 ans,please where are the tables I want to sit pew,Negative,tables pew,,Neutral,,Neutral,,Neutral
Rafael Lavoie,3,Décevant d'arriver à 10h30 et qu'il ne reste plus d'œuf ni de yogourt.,il y a 7 ans,disappointing to arrive at 10:30 a.m. and there are no eggs or your left,Negative,eggs,,Neutral,,Neutral,,Neutral
S Genereux,4,Service efficace et bon café,il y a 6 ans,efficient service and good coffee,Positive,service coffee,service,Neutral,coffee,Neutral,,Neutral
Dr.Hazem Barazi,4,Nice place to stop and have coffee break or snack.,il y a 5 ans,nice place to stop and have coffee break or snack,Positive,place coffee break snack,,Neutral,coffee,Neutral,,Neutral
Mathieu Robidoux,2,Lots of untrained staff and don't have all the ingredients,il y a 7 ans,lots of untrained staff and dont have all the ingredient,Negative,lots staff dont ingredient,staff,Neutral,,Neutral,,Neutral
Rafik BOURAS,3,"Bona personnelles mais manque d'organisation ( pas de plateau, donné les choses partiellement)",il y a 4 ans,good personal but lack of organization no tray given things partially,Negative,lack organization tray things,,Neutral,,Neutral,,Neutral
JOEL CORMIER,3,"Désolant, le service en anglais.",il y a un an,sorry the service in English,Negative,service,service,Neutral,,Neutral,,Neutral
Pierre Leandre Simard,3,"ginette, la creme dans le bagel,   elle va pas dans le trou",il y a 5 ans,annette the cream in the babel it doesn't go in the hole,Positive,cream babel hole,,Neutral,,Neutral,,Neutral
Gustavo Adolfo Vasquez,5,Nice place to take a coffe in the Place Des Arts.,il y a 7 ans,nice place to take a coffee in the place des arts,Positive,place coffee place arts,,Neutral,coffee,Neutral,,Neutral
marianna levitan,5,Excellent service and staff speak English !,il y a 5 ans,excellent service and staff speak english,Positive,service staff,service staff,Neutral,,Neutral,,Neutral
Mostafa Fahsi nhayli,4,Trop bien,il y a 2 ans,Very good,Positive,,,Neutral,,Neutral,,Neutral
Baap Huun,,"I ordered steep tea, really bad experience",il y a 2 ans,i ordered steep tea really bad experience,Negative,i tea experience,,Neutral,tea,Neutral,,Neutral
Jason Boyd (Linktreats),3,Really nice staff and ok selection.,il y a 5 ans,really nice staff and ok selection,Positive,staff selection,staff,Neutral,,Neutral,,Neutral
Mario Hains,5,Ils savent bien cuire les clubs,il y a 2 ans,they know how to cook clubs well,Positive,clubs,,Neutral,,Neutral,,Neutral
William Ward,5,Service super courtois et rapide!,il y a 5 ans,super courteous and fast service,Positive,service,service,Neutral,,Neutral,,Neutral
Zilvinas D,4,"Food is so so, but coffee could be better.",il y a 7 ans,food is so so but coffee could be better,Negative,food coffee,,Neutral,food coffee,Neutral,,Neutral
Sam Wells,,"At 4am is the last place you ever want to be, service was awful",il y a 6 ans,at am is the last place you ever want to be service was awful,Negative,place service,service,Neutral,,Neutral,,Neutral
Dimitris Katsaounis,4,"A little crowded, but the line Moves quickly.",il y a 6 ans,a little crowded but the line moves quickly,Positive,line moves,,Neutral,,Neutral,,Neutral
Jonathan Dean,,Place is never cleaned properly.,il y a un an,place is never cleaned properly,Negative,place,,Neutral,,Neutral,,Neutral
Lison Hart Roy,3,Bof...déjeuner tout du congelé et chauffé au micro-onde,il y a 4 ans,bofbreakfast everything from frozen and heated in the microwave,Negative,bofbreakfast everything microwave,,Neutral,,Neutral,,Neutral
Miguel Vaillancourt,,Service beaucoup trop lent...,il y a 7 ans,service too slow,Negative,service,service,Neutral,,Neutral,,Neutral
Christopher Lucki,4,Perfect for breakfast and lunch. A Canadian icon,il y a 7 ans,perfect for breakfast and lunch a canadian icon,Positive,perfect breakfast lunch icon,,Neutral,breakfast lunch,Neutral,,Neutral
Quinn Barnes,,Terrible coffee.,il y a 6 mois,terrible coffee,Negative,coffee,,Neutral,coffee,Neutral,,Neutral
Nima Kazemi,5,Place is good and staffs are nice.,il y a 5 ans,place is good and staffs are nice,Positive,place staffs,,Neutral,,Neutral,,Neutral
Suzanne Roux,5,Les jeunes son très gentil et polie,il y a 3 ans,young people are very nice and polite,Positive,people,,Neutral,,Neutral,,Neutral
Susan Grimshaw,3,Fi d the service is slow at most times,il y a 4 ans,i d the service is slow at most times,Negative,i service times,service,Neutral,,Neutral,,Neutral
Tinks P,5,You've got to love Timmy's! 😁…,il y a 6 ans,you got to love times,Positive,times,,Neutral,,Neutral,,Neutral
Gemechu Fanta Garuma,4,Quick service in one of the best locations.,il y a 6 ans,quick service in one of the best locations,Positive,service locations,service,Neutral,,Neutral,,Neutral
Colson Pascaline,,"Impossible de se faire servir en français, inacceptable.",il y a 5 ans,impossible to get service in French unacceptable,Negative,service,service,Neutral,,Neutral,,Neutral
Christopher Côté,5,Inexpensive coffee. Great location.,il y a 7 ans,expensive coffee great location,Positive,coffee location,,Neutral,coffee,Neutral,,Neutral
Bassil Beesoo,5,It's more than love the place,il y a 5 ans,its more than love the place,Positive,place,,Neutral,,Neutral,,Neutral
Bernard Hebert,2,Un Tim Horton pas de croissance wow,il y a 4 ans,a tim norton no growth now,Negative,norton growth,,Neutral,,Neutral,,Neutral
Oleksandra Kurash,5,"Nice visit, fast service",il y a 2 ans,nice visit fast service,Positive,visit service,service,Neutral,,Neutral,,Neutral
N'dji bonhomme,3,Not so great customer sercive,il y a 5 ans,not so great customer service,Negative,customer service,service,Neutral,,Neutral,,Neutral
Daniel LY,4,It's cool and the coffee is good,il y a 7 ans,its cool and the coffee is good,Positive,cool coffee,,Neutral,coffee,Neutral,,Neutral
David Gorman,5,They make the best coffee,il y a 4 ans,they make the best coffee,Positive,coffee,,Neutral,coffee,Neutral,,Neutral
Carl Gagnon,2,Really not the best service in Montréal,il y a 6 ans,really not the best service in montreal,Negative,service montreal,service,Neutral,,Neutral,,Neutral
Pilla Nagu,4,Nice for foodies .. should try veggies ...,il y a 6 ans,nice for bodies  should try veggies,Positive,nice bodies veggies,,Neutral,,Neutral,,Neutral
faroq Ibrahim,5,bon prix .. meilleur service,il y a 5 ans,good price best service,Positive,price service,service,Neutral,,Neutral,,Neutral
Anabela Fonseca,5,Très bien,il y a 5 ans,Alright,Positive,Alright,,Neutral,,Neutral,,Neutral
Hélène Milliard,2,Endroit pas très propre.,il y a 7 ans,not very clean place,Negative,place,,Neutral,,Neutral,clean,Positive
sylvain dagenais,4,Bon café,il y a 5 ans,good coffee,Positive,coffee,,Neutral,coffee,Neutral,,Neutral
Alfonso Reyes,3,Affordable fresh coffee and sweet bread.,il y a 7 ans,unfordable fresh coffee and sweet bread,Positive,coffee bread,,Neutral,coffee,Neutral,,Neutral
francois brochu (“François”),4,Ce n'est pas encore revenu à la normale,il y a 4 ans,it's not back to normal yet,Negative,,,Neutral,,Neutral,,Neutral
Vg G,4,Good food.,il y a 6 ans,good food,Positive,food,,Neutral,food,Neutral,,Neutral
Krishan Modi,4,"Good stuff, a slow staff",il y a 6 ans,good stuff a slow staff,Positive,stuff staff,staff,Neutral,,Neutral,,Neutral
Javier Martinez,5,"j'adore le chocolat chaud, la limonade et les muffins",il y a 7 ans,"I love hot chocolate, lemonade and puffing",Positive,chocolate lemonade puffing,,Neutral,,Neutral,,Neutral
Charles M,2,Incredibly slow service.,il y a 5 ans,incredibly slow service,Negative,service,service,Neutral,,Neutral,,Neutral
Ammar Darhou (A-pper),3,Paa mal,il y a 5 ans,pay mal,Negative,pay mal,,Neutral,,Neutral,,Neutral
Aoufa Elamiri,5,Good coffee and snacks near you,il y a 5 ans,good coffee and snacks near you,Positive,coffee snacks,,Neutral,coffee,Neutral,,Neutral
Aziza Lamqaddam,3,Service très lent,il y a 2 ans,very slow service,Negative,service,service,Neutral,,Neutral,,Neutral
Michel Gauvin,4,Service manque de rapidité,il y a un an,slow service,Negative,service,service,Neutral,,Neutral,,Neutral
Laurence M.,3,Cher pour ce que c'est.,il y a un an,Expensive for what it is,Negative,,,Neutral,,Neutral,,Neutral
Jasmin V,3,Very slow service!,il y a 2 ans,very slow service,Negative,service,service,Neutral,,Neutral,,Neutral
Cheyenne Marika Lendji,4,C'est bon 😊…,il y a 4 ans,It's good,Positive,,,Neutral,,Neutral,,Neutral
Nasa Rouf,4,Open all night! Always a plus.,il y a 6 ans,open all night always a plus,Positive,night plus,,Neutral,,Neutral,,Neutral
Sam Floripa,5,Nice place,il y a 7 mois,nice place,Positive,place,,Neutral,,Neutral,,Neutral
Stéphane Masse,5,Bon service rapide,il y a 7 ans,good fast service,Positive,fast service,service,Neutral,,Neutral,,Neutral
Bryan Wabie,4,What can I say it's Tim Hortons,il y a 7 ans,what can i say its tim portions,Positive,tim portions,,Neutral,portions,Neutral,,Neutral
Tristan Gheeraert,5,Très bon :),il y a 2 ans,very good,Positive,,,Neutral,,Neutral,,Neutral
Amr Hefni,4,Propre! Ouvert 24h,il y a 8 ans,clean open 24 hours,Positive,hours,,Neutral,,Neutral,clean,Positive
george emil,5,very nice place affordable,il y a 7 ans,very nice place unfordable,Positive,place,,Neutral,,Neutral,,Neutral
Alexandre Dufour-Théroux,5,vraiment pas bon,il y a 5 ans,really not good,Negative,,,Neutral,,Neutral,,Neutral
H3D Dératisation Désinsectisation Dépigeonnage,4,Jaime tim hortons,il y a un an,aime tim portions,Positive,portions,,Neutral,portions,Neutral,,Neutral
daniel labreche,,Très mauvais service,il y a 2 ans,very bad service,Negative,service,service,Neutral,,Neutral,,Neutral
Michel,3,Un Tim...Rapide et efficace,il y a 7 ans,a quick and efficient,Positive,,,Neutral,,Neutral,,Neutral
Lem Lev,5,J'ai adoré,il y a 5 ans,I loved,Positive,,,Neutral,,Neutral,,Neutral
Mady De Costa,5,Nice cheap place to eat,il y a 5 ans,nice cheap place to eat,Positive,place,,Neutral,,Neutral,,Neutral
Andre Rivard,4,Service courtois et rapide.,il y a 5 ans,courteous and fast service,Positive,service,service,Neutral,,Neutral,,Neutral
Digna Delgado,3,Ouvert 24 heures 🙌…,il y a 5 ans,open 24 hours,Positive,hours,,Neutral,,Neutral,,Neutral
Mathieu Albertin,4,Très bon services,il y a 6 ans,very good service,Positive,service,service,Neutral,,Neutral,,Neutral
Balli Saini,5,Manager is very nice,il y a 5 ans,manager is very nice,Positive,manager,,Neutral,,Neutral,,Neutral
